A_c,Access_prop1,Access_prop2,Acres,Addl_mo_fee,Addr,All_inc,Alt_power1,Alt_power2,Apt_num,Area,Area_code,Ass_year,Assignment,Bath_tot,Br,Br_plus,Bsmt1_out,Bsmt2_out,Cable,Cac_inc,Cd,Central_vac,Cert_lvl,Cndsold_xd,Com_coopb,Comel_inc,Community,Community_code,Comp_pts,Cond,Constr1_out,Constr2_out,County,Cross_st,Den_fr,Depth,Disp_addr,Dom,Drive,Dt_sus,Dt_ter,Easement_rest1,Easement_rest2,Easement_rest3,Easement_rest4,Elec,Elevator,Energy_cert,Extras,Farm_agri,Fpl_num,Fractional_ownership,Front_ft,Fuel,Furnished,Gar_spaces,Gar_type,Gas,Green_pis,Handi_equipped,Heat_inc,Heating,Hydro_inc,Input_date,Internet,Irreg,Kit_plus,Laundry,Laundry_lev,Ld,Lease,Lease_term,Legal_desc,Level1,Level10,Level11,Level12,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Link_comment,Link_yn,Lot_fr_inc,Lotsz_code,Lp_dol,Lsc,Lse_terms,Ml_num,Mmap_col,Mmap_page,Mmap_row,Municipality,Municipality_code,Municipality_district,Num_kit,Occ,Oh_date1,Oh_date2,Oh_date3,Oh_date4,Oh_date5,Oh_date6,Oh_dt_stamp,Oh_from1,Oh_from2,Oh_from3,Oh_from4,Oh_from5,Oh_from6,Oh_Link1,Oh_Link2,Oh_Link3,Oh_Link4,Oh_Link5,Oh_Link6,Oh_to1,Oh_to2,Oh_to3,Oh_to4,Oh_to5,Oh_to6,Oh_Type1,Oh_Type2,Oh_Type3,Oh_Type4,Oh_Type5,Oh_Type6,Orig_dol,Oth_struc1_out,Oth_struc2_out,Outof_area,Parcel_id,Park_chgs,Park_spcs,Pay_freq,Perc_dif,Pix_updt,Pool,Portion_lease_comments,Portion_property_lease1_out,Portion_property_lease2_out,Portion_property_lease3_out,Portion_property_lease4_out,Portion_property_lease_srch,Poss_date,Potl,Pr_lsc,Prkg_inc,Prop_feat1_out,Prop_feat2_out,Prop_feat3_out,Prop_feat4_out,Prop_feat5_out,Prop_feat6_out,Prop_mgmt,Pvt_ent,Retirement,Rltr,Rm10_dc1_out,Rm10_dc2_out,Rm10_dc3_out,Rm10_len,Rm10_out,Rm10_wth,Rm11_dc1_out,Rm11_dc2_out,Rm11_dc3_out,Rm11_len,Rm11_out,Rm11_wth,Rm12_dc1_out,Rm12_dc2_out,Rm12_dc3_out,Rm12_len,Rm12_out,Rm12_wth,Rm1_dc1_out,Rm1_dc2_out,Rm1_dc3_out,Rm1_len,Rm1_out,Rm1_wth,Rm2_dc1_out,Rm2_dc2_out,Rm2_dc3_out,Rm2_len,Rm2_out,Rm2_wth,Rm3_dc1_out,Rm3_dc2_out,Rm3_dc3_out,Rm3_len,Rm3_out,Rm3_wth,Rm4_dc1_out,Rm4_dc2_out,Rm4_dc3_out,Rm4_len,Rm4_out,Rm4_wth,Rm5_dc1_out,Rm5_dc2_out,Rm5_dc3_out,Rm5_len,Rm5_out,Rm5_wth,Rm6_dc1_out,Rm6_dc2_out,Rm6_dc3_out,Rm6_len,Rm6_out,Rm6_wth,Rm7_dc1_out,Rm7_dc2_out,Rm7_dc3_out,Rm7_len,Rm7_out,Rm7_wth,Rm8_dc1_out,Rm8_dc2_out,Rm8_dc3_out,Rm8_len,Rm8_out,Rm8_wth,Rm9_dc1_out,Rm9_dc2_out,Rm9_dc3_out,Rm9_len,Rm9_out,Rm9_wth,Rms,Rooms_plus,Rural_svc1,Rural_svc2,Rural_svc3,Rural_svc4,Rural_svc5,S_r,Sewage1,Sewage2,Sewer,Shore_allow,Shoreline1,Shoreline2,Shoreline_exp,Sp_dol,Spec_des1_out,Spec_des2_out,Spec_des3_out,Spec_des4_out,Spec_des5_out,Spec_des6_out,Sqft,St,St_dir,St_num,St_sfx,Status,Style,Taxes,Td,Timestamp_sql,Tot_park_spcs,Tour_url,Tv,Type_own1_out,Type_own_srch,Uffi,Unavail_dt,Util_cable,Util_tel,Vend_pis,Vtour_updt,Water,Water_acc_bldg1,Water_acc_bldg2,Water_body,Water_del_feat1,Water_del_feat2,Water_feat1,Water_feat2,Water_feat3,Water_feat4,Water_feat5,Water_front,Water_inc,Water_type,Waterfront,Wcloset_p1,Wcloset_p2,Wcloset_p3,Wcloset_p4,Wcloset_p5,Wcloset_t1,Wcloset_t1lvl,Wcloset_t2,Wcloset_t2lvl,Wcloset_t3,Wcloset_t3lvl,Wcloset_t4,Wcloset_t4lvl,Wcloset_t5,Wcloset_t5lvl,Wtr_suptyp,Xd,Xdtd,Yr,Yr_built,Zip,Zoning,Ad_text
None,Yr Rnd Private Rd,,< .50,,8 Fire Route 27,,,,,Peterborough,12,2023,,1,2,,None,,,,,,,,2.50%,,Rural Galway-Cavendish and Harvey,12.01.0010,E,,Wood,,Ontario,Buckhorn Narrows,Y,200,Y,155,Private,,,,,,,Y,,,,,N,,100,Propane,,0,None,N,,,,Forced Air,,28:14.0,Y,,,,,00:00.0,,,PT LT 5 CON 10 HARVEY AS IN R606871 T/W R606871; GAL-CAV AND HAR,Main,,,,Main,Main,Main,Main,,,,,,,,Feet,569900,New,,X7260164,,,,Galway-Cavendish and Harvey,12.01,Galway-Cavendish and Harvey,1,Flexible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569900,Garden Shed,,,283570063,,4,,,28:26.0,None,,,,,,,,,,,Lake Access,School Bus Route,,,,,,,,BALL REAL ESTATE INC.,,,,,,,,,,,,,,,,,,,,,,8.97,Kitchen,3.35,,,,2.74,Br,2.62,,,,2.72,Br,2.62,,,,2.59,Sitting,2.39,3 Pc Bath,,,,Bathroom,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,Sale,,,Septic,,,,E,,Unknown,,,,,,,Fire Route 27,,8,,A,Bungalow,765.36,,34:10.0,4,,84000,Rural Resid,.R.,,,A,A,N,,Well,,,Buckhorn,,,Trent System,Watrfrnt-Deeded Acc,,,,0,,Lake,Indirect,3,,,,,1,Main,,,,,,,,,Drilled Well,00:00.0,,2023,,K0L 1J0,RR,"Enjoy waterfront affordably! Updated 4 season cottage/home with access to Buckhorn Lake. Enjoy 2 waterfront lots with docks, one across the road and bonus access down the road. Charming open concept bungalow with 2 bedrooms, beautiful 3pc bathroom, chic updated kitchen open to living room and walkout deck. Large well treed country lot with extensive armour stone landscaping, shed/bunkie and landscaped firepit area tucked in the trees. Many updates including new 2022 propane heat and shingles, new 2009 septic & good drilled well. Great location in a quiet waterfront community on a year round road, just a few minutes to the amenities of Buckhorn. Rare chance to enjoy waterfront with low taxes and maintenance while enjoying the tranquility of convenient country living. Experience beautiful Buckhorn Lake & Trent Severn Waterway affordably"
Central Air,,,< .50,,148 King St,,,,01-Feb,Brant,44,2023,,2,3,,Part Bsmt,Part Fin,,,,,,,3% Seller Direct + $2,,Burford,44.01.0030,S,,Board/Batten,Insulbrick,Ontario,King St & St William St,Y,105,Y,331,Private,,,,,,,N,N,,All Measurements Are Approximate.,,Y,,70.1,Gas,,2,Detached,Y,,N,,Forced Air,,46:04.0,Y,,,,Main,00:00.0,,,Pt Lt 34 Pl 727 Burford As In A415726; Brant Count,Ground,2nd,Bsmt,,Ground,Ground,Ground,Ground,2nd,2nd,2nd,2nd,,N,,Feet,649000,New,,X5958844,,,,Brant,44.01,Brant,2,Immediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649000,Garden Shed,,,320210130,,6,,,46:22.0,None,,,,,,,,,,,Place Of Worship,Rec Centre,School,,,,,,N,EASY LIST REALTY,,,,2.44,Br,3.66,,,,2.13,Furnace,1.52,,,,,,,,,,3.05,Kitchen,3.66,,,,4.56,Living,6.1,,,,3.05,Prim Bdrm,3.05,,,,2.44,Laundry,3.05,,,,3.66,Br,3.05,,,,3.05,Kitchen,3.66,,,,3.05,Living,5.49,,,,2.13,Laundry,4.88,,,,2.44,Br,3.66,12,,,,,,,Sale,,,Septic,,,,,,Unknown,,,,,,1500-2000,King,,148,St,A,2-Storey,2334,,02:19.0,7,,223000,Detached,.D.,No,,Y,Y,N,,Well,,,,,,,,,,,,,,None,4,3,,,,1,2nd,1,Flat,,,,,,,Drilled Well,00:00.0,,2022,100+,N0E 1A0,R1,"For more info on this property, please click the Brochure button below. Upper/Lower Duplex with serviced detached rented garage on large 70 x 105 lot. Approximately 1600 square feet. Beautiful small town for investors and planning retirees. Currently both 2 bedroom apartments are rented with one year leases and the garage is rented month to month."
Central Air,,,.50-1.99,,20 Cachet Pkwy,,,,,York,9,,,3,4,,Unfinished,,,,,,,,2.25% Plus Hst,,Devil's Elbow,09.03.0160,S,,Alum Siding,Brick,Ontario,Warden Ave & Major Mackenzie,Y,421.62,Y,41,Circular,,,,,,,Y,,,Don't miss out on this rare chance to own a piece of tranquility in one of the most sought-after communities in York Region!,,Y,,175.74,Gas,,2,Attached,Y,,,,Forced Air,,31:13.0,Y,"1.152 Acres, Irregular As Per Schedule B",,,,00:00.0,,,"LOT 11, PL 6897; BLK H,PL 6897 EXCEPT PTS 1 & 2, 64R4098;",Main,,,,Main,Main,Main,2nd,2nd,2nd,2nd,,,N,,Feet,3088000,New,,N8084540,,,,Markham,9.03,Markham,1,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3088000,,,,30490654,,8,,,35:18.0,None,,,,,,,,,,,Golf,Library,Park,Ravine,Rec Centre,,,,,RE/MAX REALTRON LUCKY PENNY HOMES REALTY,,,,,,,,,,,,,,,,,,,Fireplace,Hardwood Floor,Large Window,8.01,Living,4.01,Hardwood Floor,Crown Moulding,Formal Rm,4.21,Dining,3.61,Renovated,Double Doors,W/O To Yard,4.25,Kitchen,4.24,Stainless Steel Appl,W/O To Yard,Eat-In Kitchen,3.86,Family,3.74,4 Pc Ensuite,Hardwood Floor,His/Hers Closets,4.61,Prim Bdrm,4.28,Hardwood Floor,Double Closet,Window,4.13,2nd Br,4.11,Hardwood Floor,Double Closet,Window,4.41,3rd Br,3.05,Hardwood Floor,Double Closet,Window,4.12,4th Br,3.41,,,,,,,8,,,,,,,Sale,,,Septic,,,,,,Unknown,,,,,,,Cachet,,20,Pkwy,A,2-Storey,12386.01,,17:10.0,10,https://20cachetpkwy.relahq.com/?mls,,Detached,.D.,,,Y,Y,N,,Well,,,,,,,,,,,,,,,2,4,,,,1,Main,2,2nd,,,,,,,,00:00.0,,2023,,L6C 1B8,,"Extraordinary opportunity awaits at 20 Cachet Pkwy, offering a remarkable, huge table land of approximately 1.2 acres with 175 ft of frontage and 421 ft of depth (irregular), nestled within the prestigious exclusive community of Markham Cachet Estate! This stunning family home boasts spacious living space features upgraded eat-in kitchen, seamlessly combined family and dining room offer picturesque views of the beautiful garden, with multiple walk-outs to the backyard creating a resort-like atmosphere flooded w/natural light.4 bedrms upstairs including the large primary retreat features 4-Piece ensuite&his/her closets. This tranquil oasis boasts mature trees and a peaceful ambiance, providing the perfect canvas for your dream home, with lots of future potential.Surrounded by upscale amenities, including world-class golf courses, restaurants, and shops, and just minutes from Highway 404/407 and downtown Markham, convenience meets exclusivity at this coveted address."
Central Air,,,5-9.99,,97 5th Conc Rd E,,,,,Hamilton,7,,,6,5,,Finished,Full,,,,,,,1.5 % On Successful Closing,,Rural Flamborough,07.01.0050,N,,Brick,,Ontario,Hwy 6 North,Y,1206,Y,329,Private,,,,,,,Y,N,,"Legal Des Cont'd: Plan 62R16289, S/T Ef26768 & Pt 11 Con 5 E Pl Pt 1 Pl62R19407  **Interboard Listing: Hamilton - Burlington Real Estate Associaton**",Horticulture,Y,,349.06,Gas,,99,Detached,Y,,N,,Forced Air,,45:27.0,Y,Lot Is 9.67 Acres In Area,,,Main,00:00.0,,,"Pt Lt 11 Con 5 E Flamborough, Pts 1 & 2",Ground,2nd,2nd,2nd,Ground,Ground,Ground,Ground,Ground,Ground,2nd,2nd,,,,Feet,9000000,Exp,,X5964856,,,,Hamilton,7.01,Hamilton,2,Flexible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000000,Indoor Arena,Workshop,,175120172,,40,,,46:16.0,Indoor,,,,,,,,,Ext,,Grnbelt/Conserv,Other,,,,,,,N,"RIGHT AT HOME REALTY,  BROKERAGE",Broadloom,,,5.23,Br,4.8,Broadloom,,,4.57,Br,3.05,Broadloom,,,4.83,Br,3.99,Tile Floor,,,6.3,Foyer,5.23,Hardwood Floor,Fireplace,,5.89,Living,5.84,Hardwood Floor,Fireplace,,5.08,Dining,4.93,Tile Floor,,,7.44,Kitchen,4.67,Hardwood Floor,Fireplace,,8.48,Family,6.6,,,,6.63,Kitchen,3.63,6 Pc Bath,,,20.8,Other,11.68,6 Pc Ensuite,Hardwood Floor,Fireplace,7.75,Prim Bdrm,7.62,4 Pc Ensuite,Broadloom,Bay Window,6.05,Br,4.06,12,2,,,,,,Sale,,,Septic,,,,,,Unknown,,,,,,5000+,5th Conc,E,97,Rd,U,2-Storey,15727,,17:30.0,140,https://www.myvisuallistings.com/vtnb/336826,,Farm,.F.,,00:00.0,Y,Y,N,,Well,,,,,,,,,,,,,,None,2,4,6,6,2,1,Ground,1,2nd,1,Ground,2,2nd,1,Bsmt,Drilled Well,00:00.0,00:47.0,2022,31-50,L8B 1K4,"A2,  P7","9.67 Acre Estate/ Commercial Complex Just North Of Waterdown (North East Hamilton) Close To Highway & Go Train Station. Property Has 5 Bedrooms, 6 Bath, Open Concept 8250 Sq Ft Residence With Fully Finished Lower Level & Indoor Pool / Spa.  There Are Approx. 28,000 Sq Feet Of Quality Storage Buildings & A Commercially Licensed 250 K W Solar Contract. There Are Approx. 5 Acres Of Open Market Garden Land Which Could Be Perfect For Greenhouse Site If Owner Desires."
,Water Only,,5-9.99,,"Island 64, 64H & 65",,,,,Muskoka,26,,,0,,,,,,,,,,,3% + Taxes. See Attachments,,,,W,,,,Ontario,By Boat From Waubaushene,,9.09,Y,385,,,,,,,,N,,,,,,,6132,,,,,N,,,,,,00:00.0,Y,,,,,00:00.0,,,Canary Island Or Island No. 64 In Georgian Bay;...,,,,,,,,,,,,,,,,Acres,750000,Ext,,X5966463,,,,Georgian Bay,26.01,Georgian Bay,,Flexible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750000,Garden Shed,,,740660005,,,,,13:12.0,,,,,,,,,,New,,Island,Lake/Pond,Waterfront,,,,,,,"SOTHEBY`S INTERNATIONAL REALTY CANADA, BROKERAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Internet Other,,,,,Sale,,,None,None,Deep,Natural,All,,Unknown,,,,,,,"64, 64H & 65",,Island,,A,,2695,,04:20.0,,https://youtu.be/cMeUHWXlpTg,,Vacant Land,.V.,,,N,N,N,,None,,,Georgian,,,Dock,,,,,1869.03,,Bay,Direct,,,,,,,,,,,,,,,,,00:00.0,51:34.0,2022,,L0K 1S0,Sri2 & Nsi,"* Boat Access *  Rare Chance To Own A 3-Island Archipelago In Scenic Georgian Bay. The Main Island Is 5.196 Acres With 3,015 Ft Shoreline. Second Island Is 3.6 Acres With 2,694 Ft Shoreline. Third Island Is 0.291 Acres With 423 Ft Shoreline. Islands Are Close Enough To Allow Bridge Construction Or Wading Between Them. Granite Outcroppings, Level Terrain, Deciduous/Evergreen Trees, And Stunning Views. Small Storage Shed & 2 Aluminum Frame Dock Sections On Main Island. Nearest Inhabited Island Is 0.5 Km Away, Ensuring Privacy. Boat To Restaurants, Stores, And Lcbo Locations Along Georgian Bay. Golf Courses, Walking Trails, Ski Resorts, And Ofsc Trails Nearby. Only 5-Minute Boat Ride To Marinas Located Off Highway 400 In Waubaushene. Idyllic Retreat Is Just 1.5 Hours North Of Gta, Perfect Escape!"
,,,.50-1.99,,0 Birchview Rd,,,,,Peterborough,12,,,0,,,,,,,,,,,2.50%,,Rural Douro-Dummer,12.09.0010,N,,,,Ontario,Highway 28 To Birchview Road,,147.7,Y,390,,,,,,,,A,,,,,,,295.01,,,,,N,,,,,,00:00.0,Y,,,,,00:00.0,,,Tbd,,,,,,,,,,,,,,,,Feet,249000,Pc,,X5970949,,,,Douro-Dummer,12.09,Douro-Dummer,,Flexible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295000,,,,281860235,,,,,38:07.0,,,,,,,,,,Ext,,Lake Access,Lake/Pond,Marina,,,,,,,BALL REAL ESTATE INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale,,,None,,,,,,Unknown,,,,,,,Birchview,,0,Rd,A,,0,,04:20.0,,,,Vacant Land,.V.,,,A,A,N,,None,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,00:00.0,31:02.0,2023,,K0L 2H0,Tbd,"A Rare Opportunity To Build Your Dream Home On Prestigious Birchview Road! This One Acre Lot Is Well Treed With A Park-Like Setting. The Elevated Exposure Gives You Spectacular Views Over Iconic Stoney Lake. Located On A Municipally Maintained, Paved Year Round Road With Hydro At The Lot Line. Located 15 Minutes From The Village Of Lakefield And 25 Mins To Peterborough. Watch The Sun Come Up Across The Lake From Your Deck And Enjoy Access To Stoney Lake Without The Property Taxes - Purchase Includes A Boat Slip At Carveth's Marina!"
Central Air,,,,,6 Giancola Cres,,,,,York,9,,,3,3,,Finished,,,,00:00.0,,,,2.5% + As Always Many Thanks!,,Maple,09.02.0140,W,,Brick,,Ontario,Keele & Teston,Y,128.36,Y,22,Private,,,,,,,,,,"Bright & Spacious With West & East Light! Direct Access From Garage To Backyard! Super Convenient Location-Steps To Schools, Parks, Shops, Trails, Maple Go Station, Hgw 407/7/404/400! Don't Miss!",,N,,19.69,Gas,,1,Built-In,,,,,Forced Air,,54:46.0,Y,"Steps To Shops, School, Trails!",,,,00:00.0,,,PLAN 65M3162 PT BLK 89 RP65R20634 PARTS 93 & 94,Main,,,,Main,Main,Main,Main,2nd,2nd,2nd,Bsmt,,,,Feet,988000,Sld,,N8117538,,,,Vaughan,9.02,Vaughan,1,TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988000,,,,33313345,,2,,101,55:03.0,None,,,,,,,,,Sc,,Fenced Yard,Golf,Hospital,Public Transit,Rec Centre,School,,,,ROYAL LEPAGE YOUR COMMUNITY REALTY,,,,,,,,,,,,,,,,,,,Tile Floor,2 Pc Bath,Closet,,Foyer,,Stone Counter,Stainless Steel Appl,Backsplash,6.8,Kitchen,2.4,Eat-In Kitchen,West View,O/Looks Family,6.8,Breakfast,2.4,Hardwood Floor,Large Window,Combined W/Dining,5.9,Living,2.64,Hardwood Floor,Pot Lights,Open Concept,5.9,Dining,2.64,Wood Floor,5 Pc Ensuite,W/I Closet,5,Prim Bdrm,2.89,Wood Floor,Window,Closet,3.9,2nd Br,2.8,Wood Floor,Window,Closet,3.2,3rd Br,2.6,Broadloom,Open Concept,Window,,Rec,,8,,,,,,,Sale,,,Sewers,,,,,1000000,Unknown,,,,,,,Giancola,,6,Cres,U,2-Storey,3538.02,00:00.0,37:32.0,3,https://my.matterport.com/show/?m=aqbL6NAEXKT&brand=0,,Att/Row/Twnhouse,.A.,,00:00.0,,,N,,Municipal,,,,,,,,,,,,,,,2,5,4,,,1,Main,1,2nd,1,2nd,,,,,,00:00.0,,2023,,L6A 2T2,Updated Town! Family Friendly Area,"Bright Elegance! Spectacular Fully Freehold Town With Custom Kitchen & Upgraded Primary Bath, Nestled On A Deep Lot In Desirable Maple! Stylishly Upgraded, Filled With Natural Light! Features Custom Kitchen With Stone Countertops, S/S Appl-s, Eat-In Area With West View, Open To Family Room - Ready For You To Create Gourmet Food; Large Living/Dining Room With Picture Window & LED Pot Lights - Perfect Place For Family Gatherings; Walk-Out To Large Fully Fenced Backyard & Enjoy The Sunset; Primary Retreat With Custom Spa-Like Ensuite & Walk-In Closet Overlooking West; Two Spacious Bedrooms With Large Windows & Overlooking East! This Gem Is A Great Family Home Offering Spacious Bedrooms, Finished Basement With New Berber Carpet, Fresh Designer Paint throughout, Long Driveway! Newly Landscaped Front! Central Location, Steps To All Amenities, Schools, Parks, Maple Go Station, Shops & Highways! Don't Miss It! Just Move-In & Enjoy! See 3D!"
,,,< .50,,Lot 22 Shawnee Tr,,,,,USA,Z00,,,0,,,,,,,,,,,2.50%,,,,W,,,,,Happy Valley Church/Old Villa,,0,Y,380,None,,,,,,,Y,,,Seller Will Provide Financing For Over 90% Of Purchase Price!,,,,0.47,,,,,N,,,,,,00:00.0,Y,,,,,00:00.0,,,"Lot 22, Landlot 445&492, 2nd Dist,3rd Sect, Ga,Usa",,,,,,,,,,,,,,,,Acres,59500,New,,Z5977515,,,,Out of Area,Z00.21,Out of Area,,Tba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59500,,,,,,,,,,None,,,,,,,,,,,Cul De Sac,,,,,,,,,"CENTURY 21 HERITAGE GROUP LTD., BROKERAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale,,,None,,,,,,Unknown,,,,,,,Shawnee,,Lot 22,Tr,A,,312.84,,04:10.0,,,,Vacant Land,.V.,,,A,Y,N,,Municipal,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,00:00.0,,2022,,,R2,"Seller Financing Available! Beautiful Well Treed Estate Building Lot. Easy 25 Minutes To Atlanta, Ga. Approx. ? Acre In Upscale Wynchester Station Subdivision Near Trail System And Retail Commercial And Medical Facilities, Many Area Amenities. Ideal For Building Your Dream Home Or Investment."
,,,.50-1.99,,Lot 30 Shawnee Tr,,,,,USA,Z00,,,0,,,,,,,,,,,2.50%,,,,W,,,,,Happy Valley Church/Old Villa,,0,Y,380,None,,,,,,,Y,,,Seller Will Provide Financing For Over 90% Of Purchase Price!,,,,0.8,,,,,N,,,,,,00:00.0,Y,,,,,00:00.0,,,"Lot 30, Landlot 445&492, 2nd Dist,3rd Sect,Ga/Usa",,,,,,,,,,,,,,,,Acres,69990,Pc,,Z5977523,,,,Out of Area,Z00.21,Out of Area,,Tba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69500,,,Dallas,,,,,,,None,,,,,,,,,New,,Cul De Sac,,,,,,,,,"CENTURY 21 HERITAGE GROUP LTD., BROKERAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale,,,Other,,,,,,Unknown,,,,,,,Shawnee,,Lot 30,Tr,A,,312.84,,04:10.0,,,,Vacant Land,.V.,,,A,Y,N,,Municipal,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,00:00.0,,2022,,,R2,"Seller Financing Available! Beautiful Well Treed Estate Building Lot. Easy 25 Minutes To Atlanta, Ga. Over 3/4 Acre In Upscale Wynchester Station Subdivision Near Trail System And Retail Commercial And Medical Facilities, Many Area Amenities. Ideal For Building Your Dream Home Or Investment."
,,,.50-1.99,,Lot 13 Santa Cruz Crt,,,,,USA,Z00,,,0,,,,,,,,,,,2.50%,,,,N,,,,,Happy Valley Church/Old Villa,,0,Y,380,None,,,,,,,Y,,,Seller Will Provide Financing For Over 90% Of Purchase Price!,,,,0.5,,,,,N,,,,,,00:00.0,Y,,,,,00:00.0,,,"Lot 13, Landlot 445&492, 2nd Dist.,3rd Sect Ga,Usa",,,,,,,,,,,,,,,,Acres,69990,Pc,,Z5977525,,,,Out of Area,Z00.21,Out of Area,,Tba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64500,,,Dallas,,,,,,,None,,,,,,,,,New,,Cul De Sac,,,,,,,,,"CENTURY 21 HERITAGE GROUP LTD., BROKERAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale,,,None,,,,,,Unknown,,,,,,,Santa Cruz,,Lot 13,Crt,A,,312.84,,04:10.0,,,,Vacant Land,.V.,,,A,Y,N,,Municipal,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,00:00.0,,2022,,,R2,"Seller Financing Available! Beautiful Well Treed Estate Building Lot. Easy 25 Minutes To Atlanta, Ga. Approx. ? Acre In Upscale Wynchester Station Subdivision Near Trail System And Retail Commercial And Medical Facilities, Many Area Amenities. Ideal For Building Your Dream Home Or Investment."
