A_c,Access_prop1,Access_prop2,Addl_mo_fee,Addr,All_inc,Alt_power1,Alt_power2,Apt_num,Area,Area_code,Ass_year,Assignment,Bath_tot,Bldg_amen1_out,Bldg_amen2_out,Bldg_amen3_out,Bldg_amen4_out,Bldg_amen5_out,Bldg_amen6_out,Br,Br_plus,Bsmt1_out,Bsmt2_out,Cable,Cac_inc,Cd,Central_vac,Cert_lvl,Cndsold_xd,Com_coopb,Comel_inc,Community,Community_code,Cond,Cond_txinc,Condo_corp,Condo_exp,Constr1_out,Constr2_out,Corp_num,County,Cross_st,Den_fr,Disp_addr,Dom,Dt_sus,Dt_ter,Easement_rest1,Easement_rest2,Easement_rest3,Easement_rest4,Elevator,Energy_cert,Ens_lndry,Extras,Fpl_num,Fractional_ownership,Fuel,Furnished,Gar,Gar_type,Green_pis,Handi_equipped,Heat_inc,Heating,Hydro_inc,Input_date,Insur_bldg,Internet,Kit_plus,Laundry,Laundry_lev,Ld,Level1,Level10,Level11,Level12,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Locker,Locker_lev_unit,Locker_num,Locker_unit,Lp_dol,Lsc,Maint,Ml_num,Mmap_col,Mmap_page,Mmap_row,Municipality,Municipality_code,Municipality_district,Num_kit,Occ,Oh_date1,Oh_date2,Oh_date3,Oh_date4,Oh_date5,Oh_date6,Oh_dt_stamp,Oh_from1,Oh_from2,Oh_from3,Oh_from4,Oh_from5,Oh_from6,Oh_Link1,Oh_Link2,Oh_Link3,Oh_Link4,Oh_Link5,Oh_Link6,Oh_to1,Oh_to2,Oh_to3,Oh_to4,Oh_to5,Oh_to6,Oh_Type1,Oh_Type2,Oh_Type3,Oh_Type4,Oh_Type5,Oh_Type6,Orig_dol,Outof_area,Parcel_id,Park_chgs,Park_desig,Park_desig_2,Park_fac,Park_lgl_desc1,Park_lgl_desc2,Park_spc1,Park_spc2,Park_spcs,Patio_ter,Perc_dif,Pets,Pix_updt,Portion_lease_comments,Portion_property_lease_srch,Portion_property_lease1_out,Portion_property_lease2_out,Portion_property_lease3_out,Portion_property_lease4_out,Poss_date,Pr_lsc,Prkg_inc,Prop_feat1_out,Prop_feat2_out,Prop_feat3_out,Prop_feat4_out,Prop_feat5_out,Prop_feat6_out,Prop_mgmt,Pvt_ent,Retirement,Rltr,Rm1_dc1_out,Rm1_dc2_out,Rm1_dc3_out,Rm1_len,Rm1_out,Rm1_wth,Rm10_dc1_out,Rm10_dc2_out,Rm10_dc3_out,Rm10_len,Rm10_out,Rm10_wth,Rm11_dc1_out,Rm11_dc2_out,Rm11_dc3_out,Rm11_len,Rm11_out,Rm11_wth,Rm12_dc1_out,Rm12_dc2_out,Rm12_dc3_out,Rm12_len,Rm12_out,Rm12_wth,Rm2_dc1_out,Rm2_dc2_out,Rm2_dc3_out,Rm2_len,Rm2_out,Rm2_wth,Rm3_dc1_out,Rm3_dc2_out,Rm3_dc3_out,Rm3_len,Rm3_out,Rm3_wth,Rm4_dc1_out,Rm4_dc2_out,Rm4_dc3_out,Rm4_len,Rm4_out,Rm4_wth,Rm5_dc1_out,Rm5_dc2_out,Rm5_dc3_out,Rm5_len,Rm5_out,Rm5_wth,Rm6_dc1_out,Rm6_dc2_out,Rm6_dc3_out,Rm6_len,Rm6_out,Rm6_wth,Rm7_dc1_out,Rm7_dc2_out,Rm7_dc3_out,Rm7_len,Rm7_out,Rm7_wth,Rm8_dc1_out,Rm8_dc2_out,Rm8_dc3_out,Rm8_len,Rm8_out,Rm8_wth,Rm9_dc1_out,Rm9_dc2_out,Rm9_dc3_out,Rm9_len,Rm9_out,Rm9_wth,Rms,Rooms_plus,Rural_svc1,Rural_svc2,Rural_svc3,Rural_svc4,Rural_svc5,S_r,Secgrd_sys,Sewage1,Sewage2,Share_perc,Shore_allow,Shoreline_exp,Shoreline1,Shoreline2,Sp_dol,Spec_des1_out,Spec_des2_out,Spec_des3_out,Spec_des4_out,Spec_des5_out,Spec_des6_out,Sqft,St,St_dir,St_num,St_sfx,Status,Stories,Style,Taxes,Td,Timestamp_sql,Tot_park_spcs,Tour_url,Tv,Type_own_srch,Type_own1_out,Uffi,Unavail_dt,Unit_num,Vend_pis,Vtour_updt,Water_acc_bldg1,Water_acc_bldg2,Water_body,Water_del_feat1,Water_del_feat2,Water_feat1,Water_feat2,Water_feat3,Water_feat4,Water_feat5,Water_front,Water_inc,Water_type,Wcloset_p1,Wcloset_p2,Wcloset_p3,Wcloset_p4,Wcloset_p5,Wcloset_t1,Wcloset_t1lvl,Wcloset_t2,Wcloset_t2lvl,Wcloset_t3,Wcloset_t3lvl,Wcloset_t4,Wcloset_t4lvl,Wcloset_t5,Wcloset_t5lvl,Xd,Xdtd,Yr,Yr_built,Zip,Zoning,Ad_text
Central Air,,,,28 Prince Regent St,,,,Ph19,York,9,,,1,Concierge,Party/Meeting Room,Visitor Parking,,,,2,,None,,,Y,,,,,Half Month's Rent,Y,Cathedraltown,09.03.0130,,,YRSCC,W,Concrete,,1273,Ontario,Major Mackenzie / Woodbine,N,Y,29,,,,,,,,N,,"S/S Fridge, glass cooktop stove, over-the-range microwave, B/I Dishwasher, Stacked Washer & Dryer.  All Elfs, window blinds, 1 parking & 1 Locker.  24/7 concierge.  Tenant to pay hydro, gas, and tenant insurance.",N,,Gas,N,1,Underground,N,,,Heat Pump,,49:24.0,Y,Y,,Ensuite,,00:00.0,Flat,,,,Flat,Flat,Flat,Flat,,,,,Owned,Ph,4,Rm 5,2880,New,,N8115716,,,,Markham,9.03,Markham,1,Move-in ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2880,,298040290,,Owned,,None,P1-#92,,,,0,Open,,Restrict,49:31.0,,.AA.,Entire Property,,,,00:00.0,,Y,Park,Place Of Worship,Public Transit,Rec Centre,School,,Wilson Blanchard Management (905) 887-5817,Y,,LIVING REALTY INC.,Combined W/Dining,Large Window,West View,,Living,,,,,,,,,,,,,,,,,,,,Combined W/Living,W/O To Balcony,Laminate,,Dining,,Modern Kitchen,Stainless Steel Appl,Quartz Counter,,Kitchen,,W/I Closet,West View,Laminate,,Prim Bdrm,,Mirrored Closet,Sliding Doors,Laminate,,2nd Br,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,Lease,,,,,,,,,,Unknown,,,,,,800-899,Prince Regent,,28,St,A,4,Apartment,,,15:29.0,1,,,.C.,Condo Apt,,,19,N,,,,,,,,,,,,,Y,,4,,,,,1,Flat,,,,,,,,,00:00.0,,,,L6C 0V5,,"Featuring a luxurious & spacious 2-bedroom unit over 850 Sq Ft with over 200 Sq Ft Balcony & Unobstructed View on a rarely found Penthouse Level. A well-kept unit with an upgraded Kitchen & Bathroom -  quartz countertops & modern dining light fixtures, walk-in closet in the master bedroom & upgraded extra large mirror closet in the second bedroom.  9' ceiling, laminate floor throughout, move-in condition, it's a must-see!  24 Hr concierge.  Convenient location, Minute to Hwys 404/407, Go Train, Viva, steps to restaurants, parks, school, and amenities."
Central Air,Other,,,652 Princess St,,,,323,Frontenac,30,,,1,,,,,,,1,,None,,,Y,,,,,2.25% + Hst,Y,,,,,FSCC,E,Concrete,,86,Ontario,Princess & Victoria Street,N,Y,155,,,,,,,,,,"Fridge, Stove, Microwave, Built-In Dishwasher, Ensuite Stacked Washer & Dryer And All Elfs And Window Coverings",N,,Gas,,1,Underground,,,Y,Forced Air,,08:05.0,Y,Y,,Ensuite,Main,00:00.0,Flat,,,,Flat,Flat,Flat,,,,,,None,,,,349900,New,371.23,X7262406,,,,Kingston,30.04,Kingston,1,TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349900,,367860168,,Owned,,Undergrnd,,,A24,,1,Open,,Restrict,06:38.0,,,,,,,,,Y,,,,,,,Sage Living Management Inc.,,,RE/MAX REALTRON SMART CHOICE TEAM,,,,3.14,Living,2.83,,,,,,,,,,,,,,,,,,,Combined W/Kitchen,,,4.27,Dining,1.68,Combined W/Dining,Open Concept,,4.27,Kitchen,1.68,,,,2.19,Prim Bdrm,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,Sale,,,,,,,,,,Unknown,,,,,,0-499,Princess,,652,St,A,3,Apartment,3538.54,,03:17.0,1,,,.C.,Condo Apt,,,23,N,,,,,,,,,,,,,Y,,4,,,,,1,Flat,,,,,,,,,00:00.0,,2023,0-5,K7L 1E5,,"Welcome To The New Sage Prestige Development In Kingston! A Turn Key Spacious 1 Bedroom 1 Bathroom. Parking Included. Gorgeous New Kitchen Boasting Open Concept Living And Stainless Steel Appliances. Granite Counters And The Convenience Of Ensuite Laundry! Open Balcony To Enjoy Morning And Evening Sets. Walking Distance To Queens University, Cafes, Restaurants, Shopping, Parks & Hospital. An Amazing Investment Opportunity!"
Central Air,,,,501 Yonge St,,,,4405,Toronto,1,2023,,2,Concierge,Outdoor Pool,Party/Meeting Room,Rooftop Deck/Garden,,,2,1,None,,,Y,,,,,2.50%,Y,Church-Yonge Corridor,01.C08.0910,,,TSCC,Ne,Concrete,,2972,Ontario,Yonge And College,N,Y,155,,,,,,,,,,"fridge, stove & oven, range hood, dishwasher, microwave, washer & dryer. One parking and one locker included.",N,,Gas,,1,Underground,,,,Forced Air,,07:42.0,Y,Y,,Ensuite,Main,00:00.0,Flat,,,,Flat,Flat,Flat,Flat,Flat,,,,Owned,,,,1098000,Pc,734.28,C7262468,,,,Toronto,01.C08,Toronto C08,1,60/TBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149000,,,,Owned,,Undergrnd,,,,,0,Open,,Restrict,07:56.0,,,,,,,00:00.0,Ext,Y,,,,,,,Duka Property Management,,,MAKE INVESTMENT REALTY POINT,Laminate,Combined W/Dining,Open Concept,3.71,Living,5.56,,,,,,,,,,,,,,,,,,,Laminate,Combined W/Kitchen,Open Concept,3.71,Dining,5.56,Laminate,Granite Counter,Stainless Steel Appl,3.71,Kitchen,5.56,Laminate,4 Pc Ensuite,Large Closet,3.3,Prim Bdrm,2.9,Laminate,W/O To Balcony,Closet,2.74,2nd Br,2.6,Laminate,Sliding Doors,Window Flr To Ceil,3.1,3rd Br,2.16,,,,,,,,,,,,,,,,,,,6,,,,,,,Sale,,,,,,,,,,Unknown,,,,,,700-799,Yonge,,501,St,A,45,Apartment,0,,35:24.0,1,,,.C.,Condo Apt,,,5,N,,,,,,,,,,,,,Y,,4,,,,,2,Flat,,,,,,,,,00:00.0,07:57.0,2023,0-5,M4Y 0G8,,"Nearly 800 sq ft Spacious 2 Br + Den, 2 Wr Teahouse condo In Toronto Downtown Core. Large Den has floor to ceiling windows and a sliding door, and can be used as 3rd bedroom. Laminate Floor Through Out. NE corner suite with many windows Brings A Lot Of Sunshine And unobstructed City View in every room. Open Kitchen With S.S. Appliances and granite countertop, Large Master Br Has A 4 Pc Ensuite. Great Building Amenities Include swimming Pools, Fitness Centre, Yoga Room, Party Room, Lounges, And Theatre Room. Convenient location with many restaurants, cafe stores at door, walk To Subway, Grocery stores, U Of T, hospitals And More."
Central Air,,,,537 Finch Ave W,,,,307,Toronto,1,,,1,Exercise Room,Games Room,Guest Suites,Party/Meeting Room,Visitor Parking,,1,,None,,,Y,,,,,1/2 Of 1 Month Rent+Hst After 1 Mo Stay,Y,Westminster-Branson,01.C07.0500,,,None,N,Brick,,0,Ontario,Bathurst & Finch Ave West,Y,Y,152,,,,,,,Y,,,"On-Boarding Process Includes Medical History And Must Pass An Assessment With The Health And Wellness Manager. Second occupant fee is $935/month additional, emergency response system incl emerg pendant. Applicants Must Be Over The Age Of 65",N,,Grnd Srce,N,0,Underground,N,Y,Y,Forced Air,Y,52:14.0,,Y,,Shared,,00:00.0,Flat,,,,Flat,Flat,,,,,,,None,,,,4542,Exp,,C7262600,,,,Toronto,01.C07,Toronto C07,1,Immed/ TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4542,,101640944,,Rental,,None,,,,,0,Jlte,,Restrict,52:22.0,,.AE.,3rd Floor,,,,,New,,Cul De Sac,Fenced Yard,Grnbelt/Conserv,Library,Place Of Worship,,Verve Senior Living,N,Y,KELLER WILLIAMS EMPOWERED REALTY,Combined W/Kitchen,,,4.75,Living,3.02,,,,,,,,,,,,,,,,,,,B/I Closet,Juliette Balcony,,4.83,Prim Bdrm,7.78,3 Pc Bath,B/I Bar,,,Bathroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,Lease,,,,,,,,,,Accessibility,,,,,,500-599,Finch,W,537,Ave,U,3rd,Apartment,,,34:49.0,0,,,.C.,Condo Apt,,00:00.0,307,N,,,,,,,,,,,,,Y,,3,,,,,1,Flat,,,,,,,,,00:00.0,,,0-5,M2R 0A8,,"Tranquility In The City - Forestview Retirement Residence, a senior community centrally located while overlooking a lush ravine green belt providing a park-like setting. Close to all the conveniences and comforts of city living. Inclusive of 3 chef prepared meals a day, life enrichment activities, weekly housekeeping and laundering of bed linens and towels, 24-hour emergency response system including emergency pendant & more. Access to additional support for personal care is available (additional fee). Unit is complete with a Kitchenette and private bathroom. Tranquility awaits! Pictures are for reference as actual unit may differ slightly"
Central Air,,,,537 Finch Ave W,,,,401,Toronto,1,,,1,Exercise Room,Games Room,Guest Suites,Party/Meeting Room,Visitor Parking,,2,,None,,,Y,,,,,1/2 Of 1 Month Rent+Hst After 1 Mo Stay,Y,Westminster-Branson,01.C07.0500,,,None,Nw,Brick,,0,Ontario,Bathurst & Finch Ave West,Y,Y,152,,,,,,,Y,,,"On-Boarding Process Includes Medical History And Must Pass An Assessment With The Health And Wellness Manager. Second occupant fee is $935/month additional, emergency response system incl emerg pendant. Applicants Must Be Over The Age Of 65",N,,Grnd Srce,N,0,Underground,N,Y,Y,Forced Air,Y,59:54.0,,Y,,Shared,,00:00.0,Flat,,,,Flat,Flat,Flat,,,,,,None,,,,6170,Exp,,C7262646,,,,Toronto,01.C07,Toronto C07,1,Immed/ TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6170,,101640944,,Rental,,None,,,,,0,Jlte,,Restrict,59:59.0,4th Floor,.AF.,Other,,,,,New,,Cul De Sac,Fenced Yard,Grnbelt/Conserv,Library,Place Of Worship,,Verve Senior Living,N,Y,KELLER WILLIAMS EMPOWERED REALTY,Combined W/Kitchen,,,6.07,Living,3.76,,,,,,,,,,,,,,,,,,,B/I Closet,,,4.52,Prim Bdrm,3.4,B/I Closet,,,3.54,2nd Br,2.26,3 Pc Bath,B/I Bar,,,Bathroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,Lease,,,,,,,,,,Accessibility,,,,,,700-799,Finch,W,537,Ave,U,4th,Apartment,,,34:09.0,0,,,.C.,Condo Apt,,00:00.0,401,N,,,,,,,,,,,,,Y,,3,,,,,1,Flat,,,,,,,,,00:00.0,,,0-5,M2R 0A8,,"Tranquility In The City - Forestview Retirement Residence, a senior community centrally located while overlooking a lush ravine green belt providing a park-like setting. Close to all the conveniences and comforts of city living. Inclusive of 3 chef prepared meals a day, life enrichment activities, weekly housekeeping and laundering of bed linens and towels, 24-hour emergency response system including emergency pendant & more. Access to additional support for personal care is available (additional fee). Unit is complete with a Kitchenette and private bathroom. Tranquility awaits! Pictures are for reference as actual unit may differ slightly"
,,,,185 Roehampton Ave,,,,,Toronto,1,,,0,,,,,,,,,,,,,,,,,2.50%,,Mount Pleasant West,01.C10.0760,,,TSCC,,,,2642,Ontario,Yonge St & Eglinton Ave E,,Y,153,,00:00.0,,,,,,,,Ownership of a parking space is mandatory for any apartment unit in the 185 Roehampton building.,,,,,1,Underground,,,,,,16:23.0,Y,Y,,,,00:00.0,,,,,,,,,,,,,,,,,89888,Ter,114.02,C7263130,,,,Toronto,01.C10,Toronto C10,,Tenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89888,,,,Owned,,Undergrnd,P3,,13,,0,,,,16:26.0,,,,,,,00:00.0,New,,,,,,,,First Service Residential,,,RE/MAX REALTRON UNLIMITED REALTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale,,,,,,,,,,,,,,,,,Roehampton,,185,Ave,U,P3,,0,,11:52.0,1,,,.@.,Parking Space,,00:00.0,13,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00:00.0,,2023,,M4P 1R4,,Premium underground parking space conveniently located on level P3. Don't miss this unique opportunity to secure a parking spot in this established building since its inception!
Central Air,,,,150 Heath St W,,,,602,Toronto,1,,,3,Car Wash,Concierge,Guest Suites,Gym,Party/Meeting Room,Visitor Parking,2,1,None,,Y,,,,,,1/2 Month's Rent + Hst,Y,Casa Loma,01.C02.0840,,,YCC,Se,Concrete,,328,Ontario,Nw Corner Of Avenue Rd & Heath,Y,Y,152,,,,,,,N,,,"Walking distance to the many cafes, restaurants, gyms, shops, banks and boutiques in Forest Hill Village.  (Heating in suite is forced air electric with baseboard supplements).",N,,Electric,N,2,Underground,,N,,Forced Air,,24:50.0,Y,Y,,Ensuite,Main,00:00.0,Ground,,,,Ground,Ground,Ground,Ground,Ground,Ground,,,Owned,,20,20,13500,Exp,,C7264478,,,,Toronto,01.C02,Toronto C02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14500,,,,Owned,Owned,Undergrnd,#39,#40,,,2,Encl,,Restrict,00:41.0,,.AA.,Entire Property,,,,00:00.0,Pc,Y,Grnbelt/Conserv,Library,Park,Place Of Worship,Public Transit,School,On Site 416-482-6405,N,,HARVEY KALLES REAL ESTATE LTD.,Hardwood Floor,Open Concept,South View,7.74,Living,4.22,,,,,,,,,,,,,,,,,,,Hardwood Floor,Open Concept,O/Looks Living,4.22,Dining,3.6,Hardwood Floor,Breakfast Bar,Pantry,3.45,Kitchen,3.28,Hardwood Floor,B/I Bookcase,French Doors,5.69,Family,4.17,Hardwood Floor,B/I Bookcase,Se View,3.3,Library,3.28,Hardwood Floor,W/I Closet,5 Pc Ensuite,7.26,Prim Bdrm,4.22,Hardwood Floor,Coffered Ceiling,4 Pc Ensuite,4.78,2nd Br,3.86,,,,,,,,,,,,,7,1,,,,,,Lease,,,,,,,,,,Unknown,,,,,,2250-2499,Heath,W,150,St,U,6,Apartment,,,17:10.0,2,https://tours.willtour360.com/1916195?idx=1,,.C.,Condo Apt,,00:00.0,2,N,,,,,,,,,,,,,Y,,5,4,3,,,1,,1,,1,,,,,,00:00.0,,,31-50,M4V 2Y4,,"Landmark Building in Forest Hill: This gorgeous condo has 2,292 sq ft of luxurious interiors including a large family room, gourmet kitchen with a butler's pantry, separate office and huge principle rooms which are ideal for large scale entertaining.  Wall to wall windows allow an abundance of natural light to shine bright throughout the suite.  Spacious primary bedroom has a large dressing room and a stunning spa-Inspired five piece marble ensuite w/heated floor.  Located in a full service landmark building in Forest Hill with beautifully renovated common areas including the lobby, party room, gym, elevator cabs and new guest suite.  The exterior of the building has also been recently re-landscaped.  All in all an exceptional place to call home."
None,,,,725 Aberdeen Blvd,,,,29,Simcoe,4,,,0,,,,,,,,,None,,,,,,,,"$1,000 ",,Midland,04.07.0010,,,SVLCC,N,Other,,358,Ontario,Yonge St & Aberdeen Blvd,,Y,300,,,,,,,,,,,,,,,0,None,,,,,Y,11:50.0,Y,Y,,,,00:00.0,,,,,,,,,,,,,None,,,,22800,Pc,140.47,S6144240,,,,Midland,4.07,Midland,,Immediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000,,593580029,,None,,Other,,,29,,0,None,,Restrict,11:53.0,,,,,,,,Ext,,,,,,,,Tiffin Marina Corporation,,,INTERCITY REALTY INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale,,,,,,,,,,,,,,,,0-499,Aberdeen,,725,Blvd,A,1,Other,305.48,,26:39.0,0,,,.O.,Other,,,29,N,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,00:00.0,47:39.0,2022,Nov-15,L4R 5P3,,"**Season Opening Sale Price held for purchases secured with deposit prior to May 15th 2024**                                                                                                                                                                                                          40' TIFFIN MARINA BOAT SLIP. Welcome to Tiffin Pier Marina! Your access point to beautiful Georgian Bay awaits! This deep water Marina offers convenient electrical and water hook ups right at your slip, private washrooms and showers with the comfort of 24/7 security monitoring. With direct access to the Trans Canada Trail you can take advantage of all the beautiful Downtown Midland has to offer such as Restaurants and shopping. ** List price + HST.**"
None,,,,725 Aberdeen Blvd,,,,50,Simcoe,4,2023,,0,,,,,,,0,,None,,,,,,,,$875.00 ,,Midland,04.07.0010,,,SVLCC,N,Other,,358,Ontario,Yonge St & Aberdeen Blvd.,N,Y,300,,,,,,,,,,,N,,Other,,0,None,,,,Other,Y,27:22.0,Y,Y,,,,00:00.0,,,,,,,,,,,,,None,,,,20475,Pc,115.79,S6144856,,,,Midland,4.07,Midland,0,TBD/Immediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23000,,593580050,,None,,Other,,,78,,0,None,,Restrict,27:26.0,,,,,,,,Ext,,Beach,Lake Access,Marina,,,,Tiffin Marina Corporation,,,INTERCITY REALTY INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sale,,,,,,,,,,Unknown,,,,,,0-499,Aberdeen,,725,Blvd,A,1,Other,213.84,,25:59.0,0,,14000,.O.,Other,,,50,N,,,,,,,,,,,,,Y,,0,0,,,,0,,0,,,,,,,,00:00.0,46:50.0,2022,,L4R 5P3,MC2,"**Season Opening Sale Price held for purchases secured with deposit prior to May 15th 2024**                         35' TIFFIN MARINA BOAT SLIP. Welcome to Tiffin Pier Marina! Your Access Point To Beautiful Georgian Bay Awaits! This Deep Water Marina Offers Convenient Electrical & Water Hook Ups Right At Your Slip, Private Washrooms & Showers And The Comfort of 24/7 Security Monitoring. With Direct Access To The Trans Canada Trail You Can Take Advantage Of All That Beautiful Downtown Midland Has To Offer Such As Restaurants And Shopping. **List price + HST**"
None,,,,725 Aberdeen Blvd,,,,64,Simcoe,4,2023,,0,,,,,,,0,,None,,,,,,,,$750.00 ,,Midland,04.07.0010,,,SVLCC,N,Other,,358,Ontario,Yonge St. & Aberdeen Blvd.,N,Y,300,,,,,,,,,,,N,,Other,,0,None,,,,Other,Y,28:58.0,Y,Y,,,,00:00.0,,,,,,,,,,,,,None,,,,18000,Pc,78.26,S6144872,,,,Midland,4.07,Midland,0,TBD/Immediate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20500,,593580064,,None,,Other,,,13,,0,None,,Restrict,29:00.0,,,,,,,,Ext,,Beach,Golf,Lake Access,Marina,,,Tiffin Marina Corporation,,,INTERCITY REALTY INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Sale,,,,0,,,,,,Unknown,,,,,,0-499,Aberdeen,,725,Blvd,A,1,Other,213.84,,27:24.0,0,,14000,.O.,Other,,,64,N,,,,,,,,,,,,,Y,,0,0,,,,0,,0,,,,,,,,00:00.0,44:53.0,2022,Nov-15,L4R 5P3,MC2,"**Season Opening Sale Price held for purchases secured with deposit prior to May 15th 2024**                         30' TIFFIN MARINA BOAT SLIP. Welcome to Tiffin Pier Marina! Your Access Point To Beautiful Georgian Bay Awaits! This Deep Water Marina Offers Convenient Electrical & Water Hook Ups Right At Your Slip, Private Washrooms & Showers And The Comfort of 24/7 Security Monitoring. With Direct Access To The Trans Canada Trail You Can Take Advantage Of All That Beautiful Downtown Midland Has To Offer Such As Restaurants And Shopping.    **List price + HST**"
